source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:CC	GO:0005730	nucleolus	6.826345413951801e-16	True	"""A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."" [ISBN:0198506732]"	304	119	36	5501	0.3025210084033613	0.11842105263157894	query_1	['GO:0031981', 'GO:0044428', 'GO:0043232']
GO:BP	GO:0034660	ncRNA metabolic process	2.6193896748805753e-15	True	"""The chemical reactions and pathways involving non-coding RNA transcripts (ncRNAs)."" [GOC:mah]"	466	117	45	5067	0.38461538461538464	0.09656652360515021	query_1	['GO:0016070']
GO:CC	GO:1990904	ribonucleoprotein complex	1.185190548727387e-13	True	"""A macromolecular complex containing both protein and RNA molecules."" [GOC:vesicles]"	620	119	47	5501	0.3949579831932773	0.07580645161290323	query_1	['GO:0032991']
GO:BP	GO:0006364	rRNA processing	1.6741666331405846e-13	True	"""Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."" [GOC:curators]"	284	117	34	5067	0.2905982905982906	0.11971830985915492	query_1	['GO:0016072', 'GO:0042254', 'GO:0034470']
GO:BP	GO:0042254	ribosome biogenesis	2.0885669348961846e-13	True	"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."" [GOC:ma, PMID:26404467, Wikipedia:Ribosome_biogenesis]"	407	117	40	5067	0.3418803418803419	0.09828009828009827	query_1	['GO:0022613']
GO:BP	GO:0022613	ribonucleoprotein complex biogenesis	3.5722889993393895e-13	True	"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."" [GOC:isa_complete, GOC:mah]"	504	117	44	5067	0.37606837606837606	0.0873015873015873	query_1	['GO:0044085']
GO:CC	GO:0030684	preribosome	9.1927338940253e-13	True	"""Any complex of pre-rRNAs, ribosomal proteins, and associated proteins formed during ribosome biogenesis."" [PMID:10567516]"	137	119	23	5501	0.19327731092436976	0.1678832116788321	query_1	['GO:1990904']
GO:BP	GO:0016072	rRNA metabolic process	1.0226915065028937e-12	True	"""The chemical reactions and pathways involving rRNA, ribosomal RNA, a structural constituent of ribosomes."" [ISBN:0198506732]"	301	117	34	5067	0.2905982905982906	0.11295681063122924	query_1	['GO:0034660']
GO:CC	GO:0043232	intracellular non-membrane-bounded organelle	5.903026976492731e-12	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	1334	119	67	5501	0.5630252100840336	0.05022488755622189	query_1	['GO:0043229', 'GO:0043228']
GO:CC	GO:0043228	non-membrane-bounded organelle	5.903026976492731e-12	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	1334	119	67	5501	0.5630252100840336	0.05022488755622189	query_1	['GO:0043226']
GO:BP	GO:0034470	ncRNA processing	1.2984727495564638e-10	True	"""Any process that results in the conversion of one or more primary non-coding RNA (ncRNA) transcripts into one or more mature ncRNA molecules."" [GOC:mah]"	397	117	36	5067	0.3076923076923077	0.0906801007556675	query_1	['GO:0034660', 'GO:0006396']
GO:CC	GO:0031981	nuclear lumen	3.749507745507826e-09	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	845	119	48	5501	0.40336134453781514	0.05680473372781065	query_1	['GO:0044428', 'GO:0070013']
GO:CC	GO:0010494	cytoplasmic stress granule	1.0179676619031183e-08	True	"""A dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress."" [GOC:ans, PMID:17284590, PMID:17601829, PMID:17967451, PMID:20368989]"	92	119	16	5501	0.13445378151260504	0.17391304347826086	query_1	['GO:0036464']
GO:BP	GO:0016070	RNA metabolic process	1.350295398852791e-08	True	"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]"	1381	117	66	5067	0.5641025641025641	0.04779145546705286	query_1	['GO:0090304']
GO:BP	GO:0010467	gene expression	2.1420177985712893e-08	True	"""The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."" [GOC:dph, GOC:tb]"	1738	117	75	5067	0.6410256410256411	0.043153049482163405	query_1	['GO:0043170']
GO:BP	GO:0044085	cellular component biogenesis	2.672436226214751e-08	True	"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]"	1188	117	60	5067	0.5128205128205128	0.050505050505050504	query_1	['GO:0071840']
GO:MF	GO:0003723	RNA binding	4.323112135250478e-08	True	"""Interacting selectively and non-covalently with an RNA molecule or a portion thereof."" [GOC:jl, GOC:mah]"	541	106	38	4386	0.3584905660377358	0.07024029574861368	query_1	['GO:0003676']
GO:BP	GO:0006396	RNA processing	8.784464745086986e-08	True	"""Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."" [GOC:mah]"	572	117	39	5067	0.3333333333333333	0.06818181818181818	query_1	['GO:0010467', 'GO:0016070']
GO:MF	GO:0005488	binding	2.038254178284565e-07	True	"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]"	3046	106	99	4386	0.9339622641509434	0.032501641497045305	query_1	['GO:0003674']
GO:CC	GO:0043233	organelle lumen	2.419542343432227e-07	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	1193	119	55	5501	0.46218487394957986	0.04610226320201174	query_1	['GO:0031974', 'GO:0044422']
GO:CC	GO:0070013	intracellular organelle lumen	2.419542343432227e-07	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	1193	119	55	5501	0.46218487394957986	0.04610226320201174	query_1	['GO:0043229', 'GO:0043233', 'GO:0044424']
