source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:CC	GO:0005730	nucleolus	3.02453764280917e-23	True	"""A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."" [ISBN:0198506732]"	304	99	40	5501	0.40404040404040403	0.13157894736842105	query_1	['GO:0031981', 'GO:0044428', 'GO:0043232']
GO:CC	GO:0031981	nuclear lumen	4.969150279685943e-22	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	845	99	59	5501	0.5959595959595959	0.06982248520710059	query_1	['GO:0044428', 'GO:0070013']
GO:CC	GO:0070013	intracellular organelle lumen	4.589826766496411e-19	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	1193	99	65	5501	0.6565656565656566	0.054484492875104776	query_1	['GO:0043229', 'GO:0043233', 'GO:0044424']
GO:CC	GO:0043233	organelle lumen	4.589826766496411e-19	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	1193	99	65	5501	0.6565656565656566	0.054484492875104776	query_1	['GO:0031974', 'GO:0044422']
GO:CC	GO:0031974	membrane-enclosed lumen	4.589826766496411e-19	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	1193	99	65	5501	0.6565656565656566	0.054484492875104776	query_1	['GO:0005575']
GO:BP	GO:0042254	ribosome biogenesis	2.0894172160776138e-17	True	"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."" [GOC:ma, PMID:26404467, Wikipedia:Ribosome_biogenesis]"	407	99	41	5067	0.41414141414141414	0.10073710073710074	query_1	['GO:0022613']
GO:CC	GO:0044428	nuclear part	1.624201362197253e-16	True	"""Any constituent part of the nucleus, a membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated."" [GOC:jl]"	1115	99	60	5501	0.6060606060606061	0.053811659192825115	query_1	['GO:0044446', 'GO:0005634']
GO:BP	GO:0022613	ribonucleoprotein complex biogenesis	1.1679749724848501e-15	True	"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."" [GOC:isa_complete, GOC:mah]"	504	99	43	5067	0.43434343434343436	0.08531746031746032	query_1	['GO:0044085']
GO:BP	GO:0044085	cellular component biogenesis	1.0793459517103645e-12	True	"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]"	1188	99	60	5067	0.6060606060606061	0.050505050505050504	query_1	['GO:0071840']
GO:CC	GO:0005634	nucleus	1.4397942743691717e-12	True	"""A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."" [GOC:go_curators]"	2020	99	74	5501	0.7474747474747475	0.03663366336633663	query_1	['GO:0043231']
