source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:CC	GO:0044464	cell part	1.071822910332376e-14	True	"""Any constituent part of a cell, the basic structural and functional unit of all organisms."" [GOC:jl]"	4993	440	438	5501	0.9954545454545455	0.0877228119367114	query_1	['GO:0005575', 'GO:0005623']
GO:CC	GO:0005623	cell	2.3627658211984973e-14	True	"""The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:go_curators]"	5002	440	438	5501	0.9954545454545455	0.08756497401039584	query_1	['GO:0005575']
GO:CC	GO:0044424	intracellular part	3.591295310518358e-10	True	"""Any constituent part of the living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [GOC:jl]"	4660	440	418	5501	0.95	0.08969957081545064	query_1	['GO:0044464', 'GO:0005622']
GO:CC	GO:0005622	intracellular	2.2096137756172605e-09	True	"""The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	4687	440	418	5501	0.95	0.08918284617025816	query_1	['GO:0044464']
GO:CC	GO:0043231	intracellular membrane-bounded organelle	1.386842024170538e-08	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	3635	440	350	5501	0.7954545454545454	0.09628610729023383	query_1	['GO:0043229', 'GO:0043227']
GO:CC	GO:0043227	membrane-bounded organelle	6.77431928005107e-08	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	3723	440	354	5501	0.8045454545454546	0.09508460918614021	query_1	['GO:0043226']
GO:CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	1.8612416057896727e-07	True	"""The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane."" [GOC:bf, GOC:jl, GOC:mah, GOC:mcc, GOC:pr, GOC:vw]"	396	440	67	5501	0.15227272727272728	0.1691919191919192	query_1	['GO:0044464', 'GO:0012505', 'GO:0016020']
GO:CC	GO:0005783	endoplasmic reticulum	3.1190350029866765e-07	True	"""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]"	490	440	77	5501	0.175	0.15714285714285714	query_1	['GO:0043231', 'GO:0044444', 'GO:0012505']
GO:CC	GO:0044432	endoplasmic reticulum part	1.54006080736934e-06	True	"""Any constituent part of the endoplasmic reticulum, the irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae."" [GOC:jl]"	407	440	66	5501	0.15	0.16216216216216217	query_1	['GO:0044446', 'GO:0005783', 'GO:0044444']
GO:CC	GO:0005789	endoplasmic reticulum membrane	2.006384539700411e-06	True	"""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]"	383	440	63	5501	0.1431818181818182	0.16449086161879894	query_1	['GO:0031090', 'GO:0044425', 'GO:0044432', 'GO:0042175']
GO:CC	GO:0005737	cytoplasm	2.255249304960786e-06	True	"""All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]"	3695	440	347	5501	0.7886363636363637	0.0939106901217862	query_1	['GO:0044424']
GO:CC	GO:0043229	intracellular organelle	2.1365590882543388e-05	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	4045	440	368	5501	0.8363636363636363	0.09097651421508035	query_1	['GO:0043226', 'GO:0044424']
GO:CC	GO:0012505	endomembrane system	2.2364623547378436e-05	True	"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]"	920	440	115	5501	0.26136363636363635	0.125	query_1	['GO:0044464']
GO:CC	GO:0043226	organelle	2.8071569854690646e-05	True	"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]"	4051	440	368	5501	0.8363636363636363	0.0908417674648235	query_1	['GO:0005575']
TF	TF:M00197_0	Factor: Abf1p; motif: NRTCAYTNNNNACGW; match class: 0	0.00016942498560579278	True	Factor: Abf1p; motif: NRTCAYTNNNNACGW; match class: 0	2291	471	212	6599	0.45010615711252655	0.09253601047577477	query_1	['TF:M00197']
TF	TF:M00197	Factor: Abf1p; motif: NRTCAYTNNNNACGW	0.00016942498560579278	True	Factor: Abf1p; motif: NRTCAYTNNNNACGW	2291	471	212	6599	0.45010615711252655	0.09253601047577477	query_1	['TF:M00000']
WP	WP:WP132	Cholesterol Biosynthesis	0.0004467059524058981	True	Cholesterol Biosynthesis	13	96	8	834	0.08333333333333333	0.6153846153846154	query_1	['WP:000000']
KEGG	KEGG:00100	Steroid biosynthesis	0.0033847160484956093	True	Steroid biosynthesis	17	207	8	2060	0.03864734299516908	0.47058823529411764	query_1	['KEGG:00000']
GO:BP	GO:0016126	sterol biosynthetic process	0.0034159933648660063	True	"""The chemical reactions and pathways resulting in the formation of sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule."" [GOC:go_curators]"	41	437	14	5067	0.032036613272311214	0.34146341463414637	query_1	['GO:1901617', 'GO:0016125', 'GO:0006694']
GO:BP	GO:0006696	ergosterol biosynthetic process	0.003751942889058826	True	"""The chemical reactions and pathways resulting in the formation of ergosterol, (22E)-ergosta-5,7,22-trien-3-beta-ol, a sterol found in ergot, yeast and moulds."" [ISBN:0198506732]"	31	437	12	5067	0.02745995423340961	0.3870967741935484	query_1	['GO:0097384', 'GO:1902653', 'GO:0016129', 'GO:0016126', 'GO:0008204', 'GO:0044108']
