source	GO	name	redundant	DT	DTmod_hi	DTmod_lo	DTnmod_hi	DTnmod_lo
GO:CC	GO:0098798	mitochondrial protein complex	NA	NA	NA	2.51976865463632e-05	NA	NA
GO:CC	GO:0005737	cytoplasm	NA	NA	7.17217163172494e-07	2.3416066096252142e-14	0.006268291012065427	2.2552493049607862e-06
GO:CC	GO:0005789	endoplasmic reticulum membrane	NA	NA	0.0025934271273890964	0.003633767108912579	NA	2.006384539700411e-06
GO:CC	GO:0000313	organellar ribosome	NA	NA	NA	4.424739320498095e-06	NA	NA
GO:CC	GO:0012505	endomembrane system	NA	NA	0.034975551449924605	0.002783542523626177	NA	2.236462354737844e-05
GO:CC	GO:0044432	endoplasmic reticulum part	NA	NA	0.012351496194269434	0.019991002576752605	NA	1.54006080736934e-06
GO:CC	GO:0042175	nuclear outer membrane - ER membrane network	NA	NA	0.0012737543012912333	0.004699337479061761	NA	1.8612416057896727e-07
GO:CC	GO:0005783	endoplasmic reticulum	NA	NA	0.002631425938363329	0.00010701500634371706	NA	3.1190350029866765e-07
GO:CC	GO:0044444	cytoplasmic part	NA	NA	0.0038887398386359467	5.07772266642366e-12	0.0005614456464074256	0.00499046222238667
GO:CC	GO:0005761	mitochondrial ribosome	NA	NA	NA	4.424739320498095e-06	NA	NA
GO:CC	GO:0005759	mitochondrial matrix	NA	NA	NA	6.523869922305038e-06	NA	NA
GO:BP	GO:0006418	tRNA aminoacylation for protein translation	9.646273643415029e-05	NA	NA	NA	NA	NA
GO:MF	GO:0090079	translation regulator activity, nucleic acid binding	4.026160169623149e-05	NA	NA	NA	NA	NA
GO:MF	GO:0003743	translation initiation factor activity	2.711990170545372e-05	NA	NA	NA	NA	NA
GO:MF	GO:0003676	nucleic acid binding	9.263117061216604e-06	NA	NA	NA	NA	NA
GO:CC	GO:0036464	cytoplasmic ribonucleoprotein granule	1.767084261603495e-06	NA	NA	NA	NA	NA
GO:CC	GO:0035770	ribonucleoprotein granule	1.767084261603495e-06	NA	NA	NA	NA	NA
GO:MF	GO:0097159	organic cyclic compound binding	7.538194108723834e-07	NA	NA	NA	NA	NA
GO:MF	GO:1901363	heterocyclic compound binding	5.480006973118231e-07	NA	NA	NA	NA	NA
GO:MF	GO:0003723	RNA binding	4.323112135250478e-08	NA	NA	NA	NA	NA
GO:CC	GO:0010494	cytoplasmic stress granule	1.0179676619031183e-08	NA	NA	NA	NA	NA
GO:MF	GO:0005488	binding	2.0382541782845647e-07	0.0487201690662175	NA	NA	NA	NA
GO:CC	GO:0043226	organelle	NA	0.023871568873426775	NA	0.021414628040222348	0.006998270666475842	2.807156985469065e-05
GO:CC	GO:0043229	intracellular organelle	NA	0.021842569184629883	NA	0.017430411568213268	0.0057005097783470755	2.1365590882543388e-05
GO:CC	GO:0005623	cell	0.001646208900845191	0.012231529130390077	1.7653367082819778e-10	4.193722955327312e-12	1.962134738057076e-09	2.362765821198497e-14
GO:CC	GO:1990904	ribonucleoprotein complex	1.185190548727387e-13	0.011056283384308415	NA	NA	NA	NA
GO:CC	GO:0044464	cell part	0.0013252445188442045	0.010216012641493109	9.564501385152288e-11	1.1229055293204374e-09	7.526874992092095e-09	1.0718229103323759e-14
GO:BP	GO:0034641	cellular nitrogen compound metabolic process	5.3740231865340015e-06	0.0022346740702515818	NA	NA	NA	NA
GO:CC	GO:0043227	membrane-bounded organelle	NA	0.0013733701472304505	0.03847639517246426	0.0011986247556530182	NA	6.77431928005107e-08
GO:BP	GO:1901360	organic cyclic compound metabolic process	8.047891547501587e-06	0.0004160053854160417	NA	NA	NA	NA
GO:BP	GO:0042273	ribosomal large subunit biogenesis	6.0374160816534434e-05	0.00033057129922252815	NA	NA	NA	NA
GO:CC	GO:0043231	intracellular membrane-bounded organelle	NA	0.000312834120231441	0.022194015254142517	0.001566037646076146	0.01614858941857866	1.3868420241705382e-08
GO:BP	GO:0030490	maturation of SSU-rRNA	3.909679707629766e-06	0.00018126037013589688	NA	NA	NA	NA
GO:BP	GO:0046483	heterocycle metabolic process	5.116463017741315e-06	0.00011680119259023703	NA	NA	NA	NA
GO:BP	GO:0006725	cellular aromatic compound metabolic process	4.021166512734725e-06	9.562349016037476e-05	NA	NA	NA	NA
GO:BP	GO:0006353	DNA-templated transcription, termination	NA	7.280555557908739e-05	NA	NA	NA	NA
GO:CC	GO:0030687	preribosome, large subunit precursor	0.0022893140510215288	5.1783069805975896e-05	NA	NA	NA	NA
GO:BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript	7.379220015255448e-07	4.8157220007135306e-05	NA	NA	NA	NA
GO:CC	GO:0005622	intracellular	1.4441156647628535e-05	1.8287715331496267e-05	6.36929342056787e-05	2.1960021091470075e-08	2.9395992531043923e-07	2.2096137756172605e-09
GO:BP	GO:0006139	nucleobase-containing compound metabolic process	3.5194943398929047e-07	1.2641616891251613e-05	NA	NA	NA	NA
GO:CC	GO:0044424	intracellular part	8.53988371187385e-05	1.0259431116932333e-05	0.00013233347400793508	1.2543816118620116e-08	6.047170830324612e-07	3.591295310518358e-10
GO:BP	GO:0090304	nucleic acid metabolic process	2.9476736083588646e-07	2.5022862134102304e-06	NA	NA	NA	NA
GO:BP	GO:0006396	RNA processing	8.784464745086986e-08	2.311062279252179e-06	NA	NA	NA	NA
GO:CC	GO:0030880	RNA polymerase complex	NA	1.1528781452122021e-06	NA	NA	NA	NA
GO:CC	GO:0000428	DNA-directed RNA polymerase complex	NA	1.1528781452122021e-06	NA	NA	NA	NA
GO:BP	GO:0071840	cellular component organization or biogenesis	6.507997031361046e-05	9.974317005206872e-07	NA	NA	NA	NA
GO:BP	GO:0042274	ribosomal small subunit biogenesis	2.434707725838084e-07	8.51594346453928e-07	NA	NA	NA	NA
GO:CC	GO:0055029	nuclear DNA-directed RNA polymerase complex	NA	8.400225595410977e-07	NA	NA	NA	NA
GO:CC	GO:0032991	protein-containing complex	0.0003295498433147353	6.89059436287284e-07	NA	NA	1.3004507759222492e-06	NA
GO:BP	GO:0010467	gene expression	2.1420177985712893e-08	3.473143110542278e-07	NA	NA	NA	NA
GO:BP	GO:0034470	ncRNA processing	1.2984727495564638e-10	2.1481519525508563e-08	NA	NA	NA	NA
GO:BP	GO:0034660	ncRNA metabolic process	2.6193896748805753e-15	9.482985834611639e-09	NA	NA	NA	NA
GO:CC	GO:0043232	intracellular non-membrane-bounded organelle	5.903026976492732e-12	2.6556971577197604e-09	NA	NA	NA	NA
GO:CC	GO:0043228	non-membrane-bounded organelle	5.903026976492732e-12	2.6556971577197604e-09	NA	NA	NA	NA
GO:BP	GO:0016070	RNA metabolic process	1.3502953988527909e-08	1.5986464122810587e-09	NA	NA	NA	NA
GO:CC	GO:0030684	preribosome	9.1927338940253e-13	2.794075366607213e-11	NA	NA	NA	NA
GO:BP	GO:0006364	rRNA processing	1.6741666331405846e-13	2.879497940133932e-12	NA	NA	NA	NA
GO:BP	GO:0016072	rRNA metabolic process	1.0226915065028935e-12	1.81644524701583e-12	NA	NA	NA	NA
GO:CC	GO:0005634	nucleus	0.006773458260616328	1.4397942743691715e-12	NA	NA	NA	NA
GO:BP	GO:0044085	cellular component biogenesis	2.672436226214751e-08	1.0793459517103643e-12	NA	NA	NA	NA
GO:BP	GO:0022613	ribonucleoprotein complex biogenesis	3.572288999339389e-13	1.16797497248485e-15	NA	NA	NA	NA
GO:CC	GO:0044428	nuclear part	1.7901582583553607e-05	1.624201362197253e-16	NA	NA	NA	NA
GO:BP	GO:0042254	ribosome biogenesis	2.0885669348961846e-13	2.0894172160776135e-17	NA	NA	NA	NA
GO:CC	GO:0043233	organelle lumen	2.419542343432227e-07	4.589826766496411e-19	NA	NA	NA	0.01618782677796702
GO:CC	GO:0031974	membrane-enclosed lumen	2.419542343432227e-07	4.589826766496411e-19	NA	NA	NA	0.01618782677796702
GO:CC	GO:0070013	intracellular organelle lumen	2.419542343432227e-07	4.589826766496411e-19	NA	NA	NA	0.01618782677796702
GO:CC	GO:0031981	nuclear lumen	3.749507745507826e-09	4.969150279685943e-22	NA	NA	NA	NA
GO:CC	GO:0005730	nucleolus	6.826345413951801e-16	3.0245376428091697e-23	NA	NA	NA	NA
